1st data: correct? 0: correct_number? 0.0: accuracy? 0.0
2st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 1: correct_number? 2.0: accuracy? 100.0
3st data: correct? 1: correct_number? 3.0: accuracy? 100.0
4st data: correct? 1: correct_number? 4.0: accuracy? 100.0
5st data: correct? 0: correct_number? 4.0: accuracy? 80.0
6st data: correct? 0: correct_number? 4.0: accuracy? 66.66666666666666
7st data: correct? 1: correct_number? 5.0: accuracy? 71.42857142857143
8st data: correct? 1: correct_number? 6.0: accuracy? 75.0
9st data: correct? 1: correct_number? 7.0: accuracy? 77.77777777777779
10st data: correct? 1: correct_number? 8.0: accuracy? 80.0
11st data: correct? 1: correct_number? 9.0: accuracy? 81.81818181818183
12st data: correct? 1: correct_number? 10.0: accuracy? 83.33333333333334
13st data: correct? 0: correct_number? 10.0: accuracy? 76.92307692307693
14st data: correct? 1: correct_number? 11.0: accuracy? 78.57142857142857
15st data: correct? 1: correct_number? 12.0: accuracy? 80.0
16st data: correct? 1: correct_number? 13.0: accuracy? 81.25
17st data: correct? 0: correct_number? 13.0: accuracy? 76.47058823529412
18st data: correct? 1: correct_number? 14.0: accuracy? 77.77777777777779
19st data: correct? 0: correct_number? 14.0: accuracy? 73.68421052631578
20st data: correct? 0: correct_number? 14.0: accuracy? 70.0
21st data: correct? 1: correct_number? 15.0: accuracy? 71.42857142857143
22st data: correct? 1: correct_number? 16.0: accuracy? 72.72727272727273
23st data: correct? 0: correct_number? 16.0: accuracy? 69.56521739130434
24st data: correct? 1: correct_number? 17.0: accuracy? 70.83333333333334
25st data: correct? 1: correct_number? 18.0: accuracy? 72.0
26st data: correct? 1: correct_number? 19.0: accuracy? 73.07692307692307
27st data: correct? 1: correct_number? 20.0: accuracy? 74.07407407407408
28st data: correct? 1: correct_number? 21.0: accuracy? 75.0
29st data: correct? 1: correct_number? 22.0: accuracy? 75.86206896551724
30st data: correct? 1: correct_number? 23.0: accuracy? 76.66666666666667
31st data: correct? 1: correct_number? 24.0: accuracy? 77.41935483870968
32st data1st data: correct? 0: correct_number? 0.0: accuracy? 0.0
2st data1st data: correct? 1: correct_number? 1.0: accuracy? 100.0
2st data: correct? 1: correct_number? 2.0: accuracy? 100.0
3st data: correct? 1: correct_number? 3.0: accuracy? 100.0
4st data: correct? 1: correct_number? 4.0: accuracy? 100.0
5st data: correct? 1: correct_number? 5.0: accuracy? 100.0
6st data: correct? 1: correct_number? 6.0: accuracy? 100.0
7st data: correct? 1: correct_number? 7.0: accuracy? 100.0
8st data: correct? 0: correct_number? 7.0: accuracy? 87.5
9st data: correct? 1: correct_number? 8.0: accuracy? 88.88888888888889
10st data: correct? 1: correct_number? 9.0: accuracy? 90.0
